"gene","log2fc","p","status"
"Gene40",0.027597731632717,0.81798557215859,"不显著"
"Gene41",1.02798523697401,0.000424995602319438,"上调"
"Gene42",1.0028009265299,0.00423944991275046,"上调"
"Gene43",2.12371326327627,0.0469189703842283,"不显著"
"Gene44",-1.40275881626366,0.444391239681627,"不显著"
"Gene45",-1.06103868865659,0.118168390221006,"不显著"
"Gene46",0.254445719407618,0.368103051673764,"不显著"
"Gene47",-0.856042932090543,0.605858744452697,"不显著"
"Gene48",1.38679285319724,0.581041782066514,"不显著"
"Gene49",-1.30503192351156,0.839197403678883,"不显著"
"Gene50",-1.07543358164705,0.316754943344291,"不显著"
"Gene51",-1.70279261282795,0.286308331582425,"不显著"
"Gene52",0.382354702658604,0.317279783553725,"不显著"
"Gene53",0.678406614779828,0.453566321806213,"不显著"
"Gene54",-0.87627909479504,0.188508705021814,"不显著"
"Gene55",-0.447943099888944,0.09872077275894,"不显著"
"Gene56",-1.04475985554478,0.000282660847826818,"下调"
"Gene57",-0.629172449464198,0.48520264951892,"不显著"
"Gene58",-1.0614538455143,0.0731705230129766,"不显著"
"Gene59",2.14043720266597,0.392749043865119,"不显著"
"Gene60",1.70005339031982,0.998339012448493,"不显著"
"Gene61",0.850669015848695,0.922963274655983,"不显著"
"Gene62",1.75916619118697,0.579160539929238,"不显著"
"Gene63",0.122384451055159,0.249816868708795,"不显著"
"Gene64",0.291969800720144,0.281736890329062,"不显著"
"Gene65",-1.75480971340207,0.171582941407327,"不显著"
"Gene66",4.13252696784018,0.529927418279291,"不显著"
"Gene67",3.11384173401783,0.801729972003432,"不显著"
"Gene68",-0.91472655491509,0.247804948960789,"不显著"
"Gene69",0.629013728983758,0.51256938819192,"不显著"
"Gene70",0.954571474160612,0.193718984683421,"不显著"
"Gene71",1.15057008869035,0.479721732408887,"不显著"
"Gene72",-1.61988858828547,0.0273918881218247,"不显著"
"Gene73",0.3360751037941,0.537082938196739,"不显著"
"Gene74",-0.341423062832911,0.893864070441133,"不显著"
"Gene75",0.694606180109195,0.766777061620137,"不显著"
"Gene76",-0.074853312422665,0.000133796600127728,"不显著"
"Gene77",-1.00444320263803,0.0974821415382267,"不显著"
"Gene78",0.632590456166607,0.431410080435464,"不显著"
"Gene79",-1.01104676581251,0.137855522668237,"不显著"
"Gene80",0.754721772212211,0.0156074140720274,"不显著"
"Gene81",1.0123018377255,0.00080914340754176,"上调"
"Gene82",-2.06586917738902,0.233448195255035,"不显著"
"Gene83",-1.16608258593822,0.311575952646356,"不显著"
"Gene84",-0.265737744368925,0.0235211485730042,"不显著"
"Gene85",-1.36153096334492,0.439013717332998,"不显著"
"Gene86",-1.4355568963255,0.811990623740404,"不显著"
"Gene87",0.551520779177124,0.0997601874419841,"不显著"
"Gene88",2.10257178636035,0.512521782207626,"不显著"
"Gene89",-0.870232021056666,0.487710294818979,"不显著"
"Gene90",2.15660233021055,0.385592045324491,"不显著"
"Gene91",-0.361870755024152,0.23190162549597,"不显著"
"Gene92",-0.750793924099698,0.152672030662744,"不显著"
"Gene93",1.59263179192055,0.247809334754251,"不显著"
"Gene94",1.96785587557629,0.674435676365551,"不显著"
"Gene95",1.10974837002674,0.320558167894885,"不显著"
"Gene96",0.787381285087862,0.15834158689216,"不显著"
"Gene97",1.21981164099977,0.0446073693153239,"不显著"
"Gene98",1.64110782564876,0.329710223125866,"不显著"
"Gene99",1.1720552035802,0.333204608844797,"不显著"
"Gene100",0.91765472266328,0.733973412784765,"不显著"
"Gene101",2.6098434895777,0.486687534480448,"不显著"
"Gene102",0.467165195670225,0.0469556788297667,"不显著"
"Gene103",-2.67250759550812,0.0418446245147063,"不显著"
"Gene104",-1.12588447501329,0.786982150674305,"不显著"
"Gene105",-1.84251982880885,0.0892035196292927,"不显著"
"Gene106",-0.243291739328887,0.838944955418898,"不显著"
"Gene107",0.0823110657282202,1.08934158865294e-06,"不显著"
"Gene108",0.799024526327791,0.848433062977417,"不显著"
"Gene109",0.727719050102631,0.676323111044862,"不显著"
"Gene110",-1.60780463219073,0.367854365216891,"不显著"
"Gene111",-1.2762749216724,0.049190854646846,"不显著"
"Gene112",0.609949879471121,0.118568610337758,"不显著"
"Gene113",-1.52608450282937,0.0792545638442969,"不显著"
"Gene114",0.223935082198914,0.40165750672129,"不显著"
"Gene115",-1.05701422696254,0.353036099644924,"不显著"
"Gene116",0.528035874926982,0.197711115850027,"不显著"
"Gene117",-1.05882236447992,0.0019675922506637,"下调"
"Gene118",2.55904150308446,0.146845390787629,"不显著"
"Gene119",0.551203788301282,0.78503644193017,"不显著"
"Gene120",0.107270033145302,0.353106142757859,"不显著"
"Gene121",0.843220590232912,0.880454508218888,"不显著"
"Gene122",-0.880639243637618,0.0750747725644735,"不显著"
"Gene123",-0.559108712649432,0.0707983717334481,"不显著"
"Gene124",0.327070076282826,0.0776254608812866,"不显著"
"Gene125",-1.43234076799917,0.00775760987215837,"下调"
"Gene126",3.19423920947674,0.00286372180945474,"上调"
"Gene127",-1.30521373125469,0.0923563814244563,"不显著"
"Gene128",1.89988764845431,0.408343410812476,"不显著"
"Gene129",0.686533075068974,0.279864407326622,"不显著"
"Gene130",0.908803088988487,0.42705483706854,"不显著"
"Gene131",-0.847070522236393,0.563489629734737,"不显著"
"Gene132",0.24739244338622,0.113098280602127,"不显著"
"Gene133",-0.198343860223991,0.018732826233138,"不显著"
"Gene134",0.212224844548806,0.0312241198696686,"不显著"
"Gene135",-0.237937654598343,0.307866958619406,"不显著"
"Gene136",-0.999176449348102,0.0721587464358916,"不显著"
"Gene137",-0.875128011635603,0.415696560492658,"不显著"
"Gene138",1.14852952702801,0.0453561461215421,"不显著"
"Gene139",0.924936944342756,0.0580392594374679,"不显著"
"Gene140",0.479121210385099,1.4890830149106e-05,"不显著"
"Gene141",-1.42500720544408,0.21811741535033,"不显著"
"Gene142",1.12108160810776,0.692571527315988,"不显著"
"Gene143",0.480696989351047,0.602685102862186,"不显著"
"Gene144",-1.37378775333698,0.329789962292465,"不显著"
"Gene145",-0.900056121150585,0.041186048180074,"不显著"
"Gene146",0.544553533028778,0.609043363116742,"不显著"
"Gene147",-0.34897215932805,0.801287302468811,"不显著"
"Gene148",0.608877143950163,0.210399172792268,"不显著"
"Gene149",-2.91745843527899,0.0347409904380701,"不显著"
"Gene150",-0.737291194428955,0.225835534728184,"不显著"
"Gene151",0.101545942556109,0.655106001214322,"不显著"
"Gene152",-0.365062236703837,0.368017030219221,"不显著"
"Gene153",-0.154854329407939,0.316413547798463,"不显著"
"Gene154",-2.61476357559627,0.0596106013186876,"不显著"
"Gene155",-0.327245984701668,0.837973937177666,"不显著"
"Gene156",0.388742088281576,0.10853420502922,"不显著"
"Gene157",-1.66550243321709,0.0528005881992386,"不显著"
"Gene158",-0.414274343728885,0.41131214211435,"不显著"
"Gene159",0.466428074357988,0.0248076394682668,"不显著"
"Gene160",0.235904291150864,0.950952579587505,"不显著"
"Gene161",-0.772035779674156,0.055541175850623,"不显著"
"Gene162",0.636257345498353,0.755335551440764,"不显著"
"Gene163",1.16375242507388,0.885730132884637,"不显著"
"Gene164",-0.306555070249124,0.452260664099515,"不显著"
"Gene165",1.89091989201703,0.380575678209102,"不显著"
"Gene166",-1.67608592790543,0.489539799528071,"不显著"
"Gene167",-0.340557103491725,0.12249533362474,"不显著"
"Gene168",-0.993920121725253,0.271446338353956,"不显著"
"Gene169",2.439887403824,0.122013255241457,"不显著"
"Gene170",-1.54593370185983,0.330257186785541,"不显著"
"Gene171",-1.00284992673086,0.75878167812128,"不显著"
"Gene172",-0.51917431653577,0.0888662696977089,"不显著"
"Gene173",-0.450161682686718,0.817396364024406,"不显著"
"Gene174",-0.0555903652219847,0.673374897899589,"不显著"
"Gene175",-0.025403949716378,0.321242854826596,"不显著"
"Gene176",-1.24295415454572,0.451225785502238,"不显著"
"Gene177",-0.850472471271804,0.933095046522335,"不显著"
"Gene178",0.123574005666928,0.0908073050573098,"不显著"
"Gene179",2.77229640582227,0.157309286836489,"不显著"
"Gene180",0.51018063652461,0.172753440292448,"不显著"
"Gene181",1.25226194695939,0.0671870235781338,"不显著"
"Gene182",-0.163955158055295,0.127179162199609,"不显著"
"Gene183",1.02528424600014,0.428370576648489,"不显著"
"Gene184",-0.945607721874129,0.430421645621045,"不显著"
"Gene185",-2.52761329461893,0.0083466444454044,"下调"
"Gene186",-0.885301853638477,0.0190816395717779,"不显著"
"Gene187",-0.586228334959565,0.00275180020260509,"不显著"
"Gene188",-0.587133073942266,0.00219237105224549,"不显著"
"Gene189",-1.31293476476921,0.413239844815918,"不显著"
"Gene190",-0.146629886480415,0.0397984597968959,"不显著"
"Gene191",-0.800363124603476,0.990754437788251,"不显著"
"Gene192",-0.514301789109821,0.0362125716426307,"不显著"
"Gene193",-0.621286526641462,0.00230277613183756,"不显著"
"Gene194",-0.473363786425887,0.569703299225486,"不显著"
"Gene195",-1.40479833852146,0.0573855319777343,"不显著"
"Gene196",0.994323189279662,0.166616968983569,"不显著"
"Gene197",-0.67378562835979,0.399378303585637,"不显著"
"Gene198",-0.228863194741277,0.000900150840343648,"不显著"
"Gene199",3.1567401213674,0.223642208566923,"不显著"
"Gene200",0.290652820199708,0.811453744124136,"不显著"
"Gene201",-0.700393936240515,0.0343691025545165,"不显著"
"Gene202",4.05631335100536,0.234981317438373,"不显著"
"Gene203",2.01084128666889,0.094824859820221,"不显著"
"Gene204",-1.73283950543114,0.0391381860711128,"不显著"
"Gene205",-0.956873820939095,0.21109265015073,"不显著"
"Gene206",-0.483646490083399,0.595246135356535,"不显著"
"Gene207",0.214423207477254,0.525191841304669,"不显著"
"Gene208",0.695607410727343,0.602997210677267,"不显著"
"Gene209",-0.422405938719357,0.193312079553827,"不显著"
"Gene210",1.02765139688353,0.713202220128058,"不显著"
"Gene211",0.421748311003635,0.0777809436216889,"不显著"
"Gene212",3.63462214333343,0.740898320739783,"不显著"
"Gene213",0.394209544023589,0.0967903786287658,"不显著"
"Gene214",-0.356353766076356,0.0338408198972505,"不显著"
"Gene215",2.0038454923896,0.0001843182766223,"上调"
"Gene216",0.561847922756567,0.354374924951191,"不显著"
"Gene217",0.15863479417172,0.652499676687608,"不显著"
"Gene218",-0.917582882032988,0.32662918706333,"不显著"
"Gene219",1.15903155885255,0.109250094237218,"不显著"
"Gene220",0.514993286551812,0.968413289382406,"不显著"
"Gene221",-0.137588091629858,0.555534364348014,"不显著"
"Gene222",-0.902585673809786,0.174566408793092,"不显著"
"Gene223",-1.96258180421777,0.303753639492444,"不显著"
"Gene224",0.94117679090861,0.0185275495173268,"不显著"
"Gene225",-1.58887726485056,0.167250331016678,"不显著"
"Gene226",0.803631957699048,0.0126562330371291,"不显著"
"Gene227",1.14528906573505,0.0176559749815379,"不显著"
"Gene228",0.798737734369727,0.0198806259640912,"不显著"
"Gene229",-0.50797087639716,0.137039739656285,"不显著"
"Gene230",2.12547232970368,0.266309143070202,"不显著"
"Gene231",-0.581227722853192,0.618683732917108,"不显著"
"Gene232",-0.00849129778700273,0.0029696807198277,"不显著"
"Gene233",-0.384533579631896,0.0352784272967155,"不显著"
"Gene234",-0.176082152211457,0.192871797658317,"不显著"
"Gene235",0.86500131547713,0.888480477546331,"不显著"
"Gene236",1.83513852504007,0.0116287532739186,"不显著"
"Gene237",0.360275035460224,0.844599561920725,"不显著"
"Gene238",-0.320125112594611,0.0125015673000339,"不显著"
"Gene239",-2.017812859339,0.197623140731296,"不显著"
"Gene240",-0.576546690866613,0.423129629759754,"不显著"
"Gene241",-0.0299206944206784,0.0379535190009699,"不显著"
"Gene242",0.207318948391634,0.474602830861158,"不显著"
"Gene243",0.221954528474076,0.414594113454176,"不显著"
"Gene244",2.64519527642182,0.604503722650405,"不显著"
"Gene245",1.27568492656215,0.561246918905781,"不显著"
"Gene246",0.0926750848147082,0.961093797089731,"不显著"
"Gene247",-0.291365688981368,0.905658883652693,"不显著"
"Gene248",0.409738378824414,0.610945802103796,"不显著"
"Gene249",0.102652114150349,0.00390712458995,"不显著"
"Gene250",1.86477590272207,0.367811639868917,"不显著"
"Gene251",-1.06229615549361,0.274561042334987,"不显著"
"Gene252",-2.619679242257,0.339482735868577,"不显著"
"Gene253",1.1047017885189,0.991312726361054,"不显著"
"Gene254",0.215414728656926,0.539849236190695,"不显著"
"Gene255",-2.2302655611615,0.869537324433887,"不显著"
"Gene256",-0.0222720512103434,0.421886295874271,"不显著"
"Gene257",-0.518607062873293,0.0165403763934308,"不显著"
"Gene258",0.244306773288884,0.182384534058818,"不显著"
"Gene259",0.791469394994239,0.0444706336074571,"不显著"
"Gene260",0.876246831244606,0.355149145614287,"不显著"
"Gene261",0.0341536857854802,0.831344473029815,"不显著"
"Gene262",1.01256299893777,0.291318610270452,"不显著"
"Gene263",-1.01257175778741,0.486267668143651,"不显著"
"Gene264",-1.27686411095425,0.0698510387527599,"不显著"
"Gene265",-1.22835655104096,0.824367953733867,"不显著"
"Gene266",-2.00611136272562,0.11183469247973,"不显著"
"Gene267",-0.480386924783194,0.899722526479612,"不显著"
"Gene268",0.41470013377313,0.745414991049349,"不显著"
"Gene269",0.297410929499147,0.910956345604539,"不显著"
"Gene270",0.471379745076262,0.618177539288471,"不显著"
"Gene271",-0.105452381431023,0.527104846936808,"不显著"
"Gene272",2.58497751265666,0.00921115918526901,"上调"
"Gene273",-1.15598654015329,0.129994091582706,"不显著"
"Gene274",1.32098468946787,0.0659973723772811,"不显著"
"Gene275",0.0098799894983112,0.55921571084978,"不显著"
"Gene276",-0.0851731470587467,0.232691534912362,"不显著"
"Gene277",-0.337682495871427,0.0554041638536161,"不显著"
"Gene278",0.868263582389062,0.756411987542171,"不显著"
"Gene279",-1.05458101486104,0.0654717424280588,"不显著"
"Gene280",2.00424934658739,0.10520392154459,"不显著"
"Gene281",1.23652479822067,0.201953384770334,"不显著"
"Gene282",0.0422931459187405,6.04295347012346e-05,"不显著"
"Gene283",0.991304746815247,0.037155816027154,"不显著"
"Gene284",-0.554147471067725,0.239015542636335,"不显著"
"Gene285",-0.902639122371962,0.0899701384828152,"不显著"
"Gene286",1.87625113949012,0.0111221514326045,"不显著"
"Gene287",0.826287162029692,0.371609070214551,"不显著"
"Gene288",1.13202241926827,0.0727930087200176,"不显著"
"Gene289",0.232173392621826,0.43803415952319,"不显著"
"Gene290",2.24013435261998,0.768939787864043,"不显著"
"Gene291",0.582564485320748,0.0136872664459037,"不显著"
"Gene292",0.0982402052577489,0.236814640445118,"不显著"
"Gene293",-1.65302192299858,0.434442683763783,"不显著"
"Gene294",0.520034428823679,0.0486777094487819,"不显著"
"Gene295",-0.0241516378370485,0.500712459304299,"不显著"
"Gene296",0.374867197245492,0.447040714856682,"不显著"
"Gene297",0.94040952355929,0.216835739276589,"不显著"
"Gene298",1.36968858233675,0.138944714566426,"不显著"
"Gene299",0.852044969847325,0.771543019945231,"不显著"
"Gene300",0.038859477537452,0.0169337972528935,"不显著"
"Gene301",1.54358928873991,0.13865525987847,"不显著"
"Gene302",0.761421417515905,0.12808003574116,"不显著"
"Gene303",0.998854735509574,0.0902051438741345,"不显著"
"Gene304",1.72029325204051,0.635374925447912,"不显著"
"Gene305",0.0294563553351554,0.566851461145446,"不显著"
"Gene306",-3.66829809919008,0.000794744098296948,"下调"
"Gene307",1.62036202094212,0.154854518012507,"不显著"
"Gene308",-1.23746562839161,0.417059002955687,"不显著"
"Gene309",-0.295171955274785,0.697202592007743,"不显著"
"Gene310",3.0667975953034,0.380492916990532,"不显著"
"Gene311",-0.335685381683964,0.286054423930155,"不显著"
"Gene312",-0.838339194227447,0.373290107886519,"不显著"
"Gene313",-0.641876650221895,0.39864853380161,"不显著"
"Gene314",0.13154217403626,0.302235628118749,"不显著"
"Gene315",0.749494381049041,0.179381488817677,"不显著"
"Gene316",0.0939713992246901,0.28951805533248,"不显著"
"Gene317",-0.497413026792275,0.249354663303136,"不显著"
"Gene318",-1.4085969768259,0.863454476051672,"不显著"
"Gene319",-1.06345903642864,0.00399531337351121,"下调"
"Gene320",1.98928273217767,0.77872908950165,"不显著"
"Gene321",0.64134638101049,0.211590270066357,"不显著"
"Gene322",-0.683730160835891,0.420704679696235,"不显著"
"Gene323",-0.396732359996667,0.0689333446783269,"不显著"
"Gene324",-2.52876351919988,0.0383038317819038,"不显著"
"Gene325",0.761003310125494,0.141868101030274,"不显著"
"Gene326",-0.918170074710273,0.173053346280735,"不显著"
"Gene327",-0.557303326072415,0.488044791515521,"不显著"
"Gene328",-0.37155595693353,0.04843798653994,"不显著"
"Gene329",0.744133874983106,0.000785820707389675,"不显著"
"Gene330",-0.511960350675861,0.0614485503418302,"不显著"
"Gene331",-0.0967736991422218,0.284540161279506,"不显著"
"Gene332",1.32989236704865,0.506559252996405,"不显著"
"Gene333",-1.30870443742027,0.605561733309032,"不显著"
"Gene334",0.157216586480233,0.421417166136962,"不显著"
"Gene335",0.668008329302098,0.182202130949375,"不显著"
"Gene336",-1.48576274875148,0.117674917486203,"不显著"
"Gene337",-0.517340765936904,0.813633701186956,"不显著"
"Gene338",1.52445422411152,0.349493739530825,"不显著"
"Gene339",-0.859912477223572,0.622482948431344,"不显著"
"Gene340",0.512482875242899,0.13041329824521,"不显著"
"Gene341",1.09900876869653,0.305111685184575,"不显著"
"Gene342",-0.170180765023807,0.759699998349068,"不显著"
"Gene343",-1.91611382711878,0.471280992807891,"不显著"
"Gene344",0.3090204170692,0.43785965560398,"不显著"
"Gene345",-0.608416586314812,0.0190950941093188,"不显著"
"Gene346",-0.768132024602739,0.00919661946392451,"不显著"
"Gene347",-1.06887097293594,0.217830388223292,"不显著"
"Gene348",-1.90866277811906,0.43550982804669,"不显著"
"Gene349",0.115433801954393,0.468710839725307,"不显著"
"Gene350",-1.76880371378645,0.50030666599695,"不显著"
"Gene351",1.1876543830427,0.974629862609656,"不显著"
"Gene352",-1.492262937581,0.721855579754124,"不显著"
"Gene353",1.12515973336105,0.523607545286593,"不显著"
"Gene354",0.624547951290924,0.518076013595806,"不显著"
"Gene355",-0.534287504779034,0.829897022701383,"不显著"
"Gene356",0.110020777625625,0.880494087725973,"不显著"
"Gene357",-1.47290002690378,0.198963276673187,"不显著"
"Gene358",-0.0270133575704447,0.295607139764662,"不显著"
"Gene359",0.300905112253789,0.763417379704151,"不显著"
"Gene360",-2.58554919811151,0.550586550419401,"不显著"
"Gene361",-2.09360429203379,0.893143451406747,"不显著"
"Gene362",1.40675948662437,0.553863140156802,"不显著"
"Gene363",-0.0522382465115119,0.0385507988581993,"不显著"
"Gene364",-1.82883960453092,0.781208096152422,"不显著"
"Gene365",-0.951473769632168,0.975993982079162,"不显著"
"Gene366",2.38348355677203,0.372793696595462,"不显著"
"Gene367",1.70198888763796,0.0822617148566993,"不显著"
"Gene368",-0.0719828802032289,0.262300679299421,"不显著"
"Gene369",2.38123720248003,0.0344453594110954,"不显著"
"Gene370",-0.661873183864424,3.17231434575108e-05,"不显著"
"Gene371",-0.718130220508742,0.0901703118089016,"不显著"
"Gene372",0.443886095813371,0.546600915417949,"不显著"
"Gene373",0.291077903082245,0.276308783338982,"不显著"
"Gene374",-0.689465189081861,0.517070301029265,"不显著"
"Gene375",0.454201504964045,0.546961983022242,"不显著"
"Gene376",1.24749134606386,0.545143491357978,"不显著"
"Gene377",-0.712540450032037,0.501983285517655,"不显著"
"Gene378",-1.72467516363636,0.121390843943474,"不显著"
"Gene379",-1.62482328933164,0.475926651041438,"不显著"
"Gene380",0.801043441458267,0.611377105509181,"不显著"
"Gene381",-1.93714927109902,0.770324266635177,"不显著"
"Gene382",-0.50087982457585,0.361609984396561,"不显著"
"Gene383",1.62030797942446,0.0135156645003702,"不显著"
"Gene384",-0.402348679396982,0.144489532384449,"不显著"
"Gene385",0.609818428820893,0.790052578293043,"不显著"
"Gene386",1.95771424895603,0.270912804828386,"不显著"
"Gene387",-0.103983203711459,8.90309409646525e-05,"不显著"
"Gene388",-2.49075590094071,0.0212616715149813,"不显著"
"Gene389",0.817607494458151,0.987735230775887,"不显著"
"Gene390",0.551078041092071,0.423893610947223,"不显著"
"Gene391",-0.486610508724558,0.527740600982691,"不显著"
"Gene392",-0.440172081210878,0.00040489566236825,"不显著"
"Gene393",-2.17551497006662,0.292485529218046,"不显著"
"Gene394",-0.598828004603972,0.539333368648027,"不显著"
"Gene395",-1.81077751008477,0.533823450665328,"不显著"
"Gene396",0.223638350840438,0.542235984295069,"不显著"
"Gene397",-0.128716931201601,0.780197335179147,"不显著"
"Gene398",-0.674064972233312,0.0229184519552384,"不显著"
"Gene399",0.917464868154896,0.388974321092788,"不显著"
"Gene400",0.872473562324033,0.0485876125266781,"不显著"
"Gene401",-1.03057529824916,0.215982932997108,"不显著"
"Gene402",0.73779711727723,0.124977388417225,"不显著"
"Gene403",0.931547869021717,0.00512829508405523,"不显著"
"Gene404",2.20452694366232,0.312348486321131,"不显著"
"Gene405",0.726967340234988,0.974446408084589,"不显著"
"Gene406",-0.466938412936973,0.0293191371275744,"不显著"
"Gene407",0.830520869031875,0.669694461711707,"不显著"
"Gene408",-0.593425876917013,0.59084263194912,"不显著"
"Gene409",-0.232353640526458,0.635440923057259,"不显著"
"Gene410",0.519922583941919,0.00438889950953871,"不显著"
"Gene411",1.74116919621595,0.317114843757757,"不显著"
"Gene412",0.685174839578683,0.211593609231909,"不显著"
"Gene413",-0.233278373620992,0.671879651349139,"不显著"
"Gene414",-1.30143178900824,0.692520443616799,"不显著"
"Gene415",0.762481678243517,0.864469640086838,"不显著"
"Gene416",0.267022833808659,0.179084917146766,"不显著"
"Gene417",-0.119442302627518,0.307641274710196,"不显著"
"Gene418",1.42127904043714,0.655531404708063,"不显著"
"Gene419",1.0047062069288,0.0120626360539813,"不显著"
"Gene420",0.582943039352414,0.0122283854940771,"不显著"
"Gene421",1.70699560370454,0.346936569546499,"不显著"
"Gene422",-1.47889565404908,0.117845786107531,"不显著"
"Gene423",0.0788820556342856,0.000460252643421366,"不显著"
"Gene424",1.70454076714541,0.982062592802447,"不显著"
"Gene425",2.20170923641104,0.431565614880665,"不显著"
"Gene426",1.21826694282456,0.663859483016888,"不显著"
"Gene427",1.04728222331898,0.00267101014072665,"上调"
"Gene428",0.730193651942889,0.0993514765577558,"不显著"
"Gene429",1.10567910405599,0.839699323897543,"不显著"
"Gene430",0.176786672207182,0.753347055986606,"不显著"
"Gene431",0.795168707044063,0.337631537763405,"不显著"
"Gene432",1.48933788682646,0.699435922031578,"不显著"
"Gene433",1.56832076016502,0.370012312529954,"不显著"
"Gene434",-0.0205578539763817,0.0137572521358555,"不显著"
"Gene435",-0.973031462445876,0.615281780237556,"不显著"
"Gene436",-4.11505381847454,0.337874543538995,"不显著"
"Gene437",-1.91665179279898,0.504477158222471,"不显著"
"Gene438",-0.305983883799659,0.232427942012896,"不显著"
"Gene439",-1.22430704767596,0.661819587602411,"不显著"
"Gene440",-1.29107417177369,0.911680861777343,"不显著"
"Gene441",-1.04017905252288,0.715839472857766,"不显著"
"Gene442",0.276972258717606,0.295479994311894,"不显著"
"Gene443",-1.36985399135444,0.146041187666377,"不显著"
"Gene444",-1.00233712571166,0.254412203950918,"不显著"
"Gene445",-0.362042373044045,0.000690491060817791,"不显著"
"Gene446",0.676278154836106,0.149030724266918,"不显著"
"Gene447",-0.796136400253892,0.669456508691859,"不显著"
"Gene448",-0.848909509176296,0.418112522127396,"不显著"
"Gene449",0.917964580997993,0.675213577271437,"不显著"
"Gene450",1.13375110476361,0.363662075750732,"不显著"
"Gene451",-2.70096242449228,0.0610866563101409,"不显著"
"Gene452",0.569859880111462,0.798484631622056,"不显著"
"Gene453",0.167123690014527,0.272449748011328,"不显著"
"Gene454",-1.65104841194442,0.441674403041507,"不显著"
"Gene455",-0.0453881176080864,0.408016279330612,"不显著"
"Gene456",-0.735695431533073,0.290109902708068,"不显著"
"Gene457",0.303827475601074,0.0293430050536536,"不显著"
"Gene458",-1.5595571221726,0.0375986288851246,"不显著"
"Gene459",-1.63516366702194,0.0529412995485378,"不显著"
"Gene460",1.98717099756096,0.58652099948484,"不显著"
"Gene461",-0.571342272966793,0.283656457363644,"不显著"
"Gene462",-0.623721598746474,0.485744054157464,"不显著"
"Gene463",2.42081562965928,0.903709006621021,"不显著"
"Gene464",2.31792153615302,0.592250302484304,"不显著"
"Gene465",0.906814569527514,0.994239072471164,"不显著"
"Gene466",1.67859963833455,0.162538437470484,"不显著"
"Gene467",3.37046756048811,0.770135467619633,"不显著"
"Gene468",2.57234939480721,0.636530693871319,"不显著"
"Gene469",0.0423938652304717,0.00453010638586414,"不显著"
"Gene470",-1.8911809240455,0.725237796490433,"不显著"
"Gene471",-0.0838967874430645,0.160940063423713,"不显著"
"Gene472",-0.717733850170613,0.96314271059829,"不显著"
"Gene473",1.05796258071891,0.235062796086709,"不显著"
"Gene474",-2.7300423077229,0.0994389722668497,"不显著"
"Gene475",0.657038212386392,0.246211682460598,"不显著"
"Gene476",0.157305910742379,0.810129315127984,"不显著"
"Gene477",0.0752371827952178,0.207889724863203,"不显著"
"Gene478",1.15165939767398,0.28899291352122,"不显著"
"Gene479",-0.0562074185690884,0.250829028197135,"不显著"
"Gene480",-2.20725594740273,0.0360938234043361,"不显著"
"Gene481",-0.152437984286254,0.379305203745029,"不显著"
"Gene482",0.885563121226013,0.0113828568635353,"不显著"
"Gene483",0.598001391085206,0.0052725445630948,"不显著"
"Gene484",-1.40517411328813,0.0842746086882118,"不显著"
"Gene485",0.679457729541116,0.566482904190742,"不显著"
