"gene","sample","value"
"Gene8","S8",0.0848434835316775
"Gene9","S8",0.683943366105836
"Gene10","S8",0.570202713949305
"Gene11","S8",1.04236866638297
"Gene12","S8",0.855346582029472
"Gene13","S8",1.24315958495242
"Gene14","S8",0.607340530780565
"Gene1","S9",-0.363167677835553
"Gene2","S9",0.116841824006189
"Gene3","S9",1.2972961228648
"Gene4","S9",0.357592357755662
"Gene5","S9",0.79531664690595
"Gene6","S9",0.625726745053481
"Gene7","S9",0.599444864097922
"Gene8","S9",1.15743638584525
"Gene9","S9",0.455017669411574
"Gene10","S9",0.539803167161752
"Gene11","S9",0.36550752480557
"Gene12","S9",0.733499891743806
"Gene13","S9",1.03448082047869
"Gene14","S9",0.223488069356793
"Gene1","S10",0.933355856532453
"Gene2","S10",0.569031617291829
"Gene3","S10",0.868636371712868
"Gene4","S10",1.07548267371181
"Gene5","S10",0.407218107375497
"Gene6","S10",1.07663552443019
"Gene7","S10",1.13952581540121
"Gene8","S10",1.18052523181039
"Gene9","S10",0.798198121571766
"Gene10","S10",1.84345761389544
"Gene11","S10",0.521216759788992
"Gene12","S10",1.08142821752586
"Gene13","S10",0.87051831726156
"Gene14","S10",0.791567752437758
"Gene1","S11",2.06465119721812
"Gene2","S11",1.66670330496215
"Gene3","S11",1.13558165631588
"Gene4","S11",0.766900441206577
"Gene5","S11",2.00529566093691
"Gene6","S11",1.57915609953961
"Gene7","S11",0.935704960403538
"Gene8","S11",1.64138973403181
"Gene9","S11",-0.0224647149517889
"Gene10","S11",1.62394853755541
"Gene11","S11",2.0054059350269
"Gene12","S11",0.994356675417995
"Gene13","S11",0.201594949172633
"Gene14","S11",0.751362656613731
"Gene1","S12",1.62279513600621
"Gene2","S12",0.941108446839416
"Gene3","S12",1.76672109665424
"Gene4","S12",0.957209123575428
"Gene5","S12",1.55525987561221
"Gene6","S12",1.79730364729234
"Gene7","S12",0.889411461336428
"Gene8","S12",1.33792383704712
"Gene9","S12",2.00496261656402
"Gene10","S12",2.23986370343008
"Gene11","S12",1.77009945418761
"Gene12","S12",1.37254521466288
"Gene13","S12",1.28167480960645
"Gene14","S12",2.28576187264119
