"gene","sample","value"
"Gene11","S9",0.906566167028751
"Gene12","S9",-0.129272965194538
"Gene13","S9",1.33014606517178
"Gene14","S9",0.409367777252963
"Gene1","S10",0.534914994024243
"Gene2","S10",0.925729295422448
"Gene3","S10",-0.0705911843855199
"Gene4","S10",0.783485440700821
"Gene5","S10",1.01037575356161
"Gene6","S10",1.46022661528679
"Gene7","S10",0.949562224600564
"Gene8","S10",1.49585366790645
"Gene9","S10",0.414657890100797
"Gene10","S10",0.0768620890782293
"Gene11","S10",1.08187397997837
"Gene12","S10",0.814353145687441
"Gene13","S10",1.38205127993818
"Gene14","S10",1.34111858364135
"Gene1","S11",-0.285063536297267
"Gene2","S11",1.35719972759779
"Gene3","S11",1.06760122467706
"Gene4","S11",0.675478804154068
"Gene5","S11",1.15877578407677
"Gene6","S11",2.23436085962235
"Gene7","S11",0.882565436949256
"Gene8","S11",1.68935111472056
"Gene9","S11",0.990253130770616
"Gene10","S11",0.512946569708004
"Gene11","S11",1.75735523656635
"Gene12","S11",0.952068801882538
"Gene13","S11",0.333378514985353
"Gene14","S11",0.933804365933436
"Gene1","S12",1.29239628849504
"Gene2","S12",0.982662507673649
"Gene3","S12",1.48907878146035
"Gene4","S12",1.54777480142611
"Gene5","S12",1.71672030990428
"Gene6","S12",1.33586364987651
"Gene7","S12",0.808345517102843
"Gene8","S12",1.34627394326118
"Gene9","S12",0.923978174532091
"Gene10","S12",1.96001529526755
"Gene11","S12",1.27245058910832
"Gene12","S12",2.33917020434101
"Gene13","S12",1.82852427301997
"Gene14","S12",0.403758274943003
