"term","value"
"Pathway B",-1.32582399669679
"Pathway B",-0.674798472702225
"Pathway B",-1.05607549540446
"Pathway B",-0.923704434087253
"Pathway B",-1.75065453022174
"Pathway B",-1.63776982010609
"Pathway B",-0.518647203930654
"Pathway B",-0.46148136792291
"Pathway B",-0.854802672778529
"Pathway B",-1.40616985513523
"Pathway B",-0.819529293752889
"Pathway B",-1.18568152871625
"Pathway B",-0.865610945118305
"Pathway B",-1.40566876860616
"Pathway B",-1.32112981802545
"Pathway B",-0.855464574360768
"Pathway B",-1.14577608303581
"Pathway B",-0.361078045724624
"Pathway B",-0.880820513506403
"Pathway B",-0.824646384296607
"Pathway B",-0.416426971299806
"Pathway B",-0.912664488218113
"Pathway B",-1.11019223311031
"Pathway B",-1.09404316680625
"Pathway B",-1.9125780620726
"Pathway B",-1.01073304524855
"Pathway B",-1.08080826519165
"Pathway B",-1.47799824437155
"Pathway B",-1.10594250480752
"Pathway C",-0.271288417499615
"Pathway C",-0.0515737637657718
"Pathway C",-0.50386436371437
"Pathway C",-0.469783397470396
"Pathway C",-0.566959790357408
"Pathway C",-0.0897809450774515
"Pathway C",0.611215177975675
"Pathway C",0.0748472383318901
"Pathway C",-0.195415262880116
"Pathway C",-0.390065743021969
"Pathway C",0.210041298537506
"Pathway C",0.275549399933487
"Pathway C",-0.0223378272914666
"Pathway C",0.100200041601038
"Pathway C",-0.834078758436844
"Pathway C",-0.656030201186719
"Pathway C",0.0402630545142441
"Pathway C",-0.195609736742829
"Pathway C",-0.929203444427231
"Pathway C",-0.0532555575034225
"Pathway C",-0.645837389714555
"Pathway C",-0.0365498288588274
"Pathway C",-0.536053478320889
"Pathway C",0.156869144767953
"Pathway C",-0.329422244440641
"Pathway C",0.014108804322767
"Pathway C",-0.39703948425608
"Pathway C",-0.415276044575298
"Pathway C",-0.247465658972886
"Pathway C",-0.335860173950204
"Pathway C",-0.264985630853229
"Pathway C",-0.770766754007119
"Pathway C",-0.837160750518386
"Pathway C",-0.636323335397227
"Pathway C",-0.253889930778889
"Pathway C",-0.922450455912815
"Pathway C",0.0578225036900512
"Pathway C",0.223014812776519
"Pathway C",-0.417392893956228
"Pathway C",-0.361854957936885
"Pathway C",-0.976310775253038
"Pathway C",0.124759197147017
"Pathway C",0.542432088124693
"Pathway C",-0.622129853064181
"Pathway C",-0.34608775778946
"Pathway C",0.0126816543879349
"Pathway C",-0.269600416834608
"Pathway C",-0.293642883619304
"Pathway C",-0.728684673474537
"Pathway C",-1.06462113412545
"Pathway C",-0.281210217546416
"Pathway C",-0.434310691578005
"Pathway C",-0.66666320195187
"Pathway C",0.0710932743972731
"Pathway C",-0.881012941783792
"Pathway C",-0.676958429303965
"Pathway C",-0.0330033345208856
"Pathway C",-0.629987232024226
"Pathway C",-0.398329795835978
"Pathway C",-1.01589519118237
"Pathway C",-0.549813794575856
"Pathway C",-0.319878826573482
"Pathway C",-0.380089043848344
"Pathway C",-0.522726152817901
"Pathway C",-0.135476577733107
"Pathway C",-0.422114847170123
"Pathway C",-0.59876258163196
"Pathway C",-0.472509431087132
"Pathway C",-0.40366509137221
"Pathway C",-0.785553332120927
"Pathway D",0.499577864500684
"Pathway D",0.276174203458031
"Pathway D",0.147913833240574
"Pathway D",0.210980648740778
"Pathway D",0.189968620040631
"Pathway D",0.483037830648807
"Pathway D",0.555170809486638
"Pathway D",0.378683782767521
"Pathway D",0.388526316883077
"Pathway D",0.620133757971133
"Pathway D",-0.172656795245003
"Pathway D",0.287982005317686
"Pathway D",0.780441217359598
"Pathway D",1.44899119705668
"Pathway D",0.310148277732877
"Pathway D",0.7840889081222
"Pathway D",0.437203169275688
"Pathway D",0.285342933739235
"Pathway D",0.140246711822849
"Pathway D",0.902725504092356
"Pathway D",0.497940681272267
"Pathway D",0.555470958930318
"Pathway D",0.428597245952664
"Pathway D",0.432199297967917
"Pathway D",0.311430605638735
"Pathway D",0.562074076912198
"Pathway D",0.157926350657994
"Pathway D",0.410343728627018
"Pathway D",1.02886850108542
"Pathway D",1.05860395472197
"Pathway D",0.310856834591427
"Pathway D",0.0754592217791669
"Pathway D",-0.141450468791641
"Pathway D",-0.0779982322632087
"Pathway D",0.749954265847492
"Pathway D",0.0986342544895209
"Pathway D",0.0770140143306736
"Pathway D",0.470245982174999
"Pathway D",0.535186758427105
"Pathway D",0.115000671779764
"Pathway D",0.302343568657744
"Pathway D",-0.198226975762516
"Pathway D",0.17491996359145
"Pathway D",0.641661215614278
"Pathway D",0.708059051270492
"Pathway D",0.0186122036185863
"Pathway D",0.75810758536459
"Pathway D",0.557357269277785
"Pathway D",0.969534792131195
"Pathway D",0.502200690292845
"Pathway D",0.0910835518646948
"Pathway D",0.730875735538636
"Pathway D",0.38046648969797
"Pathway D",0.583536757722958
"Pathway D",0.0902757621115269
"Pathway D",0.485022346645864
"Pathway D",0.0571589457790665
"Pathway D",0.790298269471385
"Pathway D",-0.250752509403737
"Pathway D",0.427926419429879
"Pathway D",0.428107405242911
"Pathway D",0.315858067600602
"Pathway D",0.0172841660163922
"Pathway D",0.466111241027777
"Pathway D",-0.497393284970925
"Pathway D",0.227209057941459
"Pathway D",0.797171618315919
"Pathway D",-0.2068668212828
"Pathway D",0.514749945664834
"Pathway D",-0.14362816107039
"Pathway E",0.982011299546083
"Pathway E",1.08208082919652
"Pathway E",0.729813513293719
"Pathway E",0.845632244814676
"Pathway E",0.976579081972695
"Pathway E",0.616844294111596
"Pathway E",0.797831540332441
"Pathway E",1.20783900788564
"Pathway E",1.25390689259319
"Pathway E",1.04311245748101
"Pathway E",1.48329917432645
"Pathway E",0.264243171218532
"Pathway E",0.320389670310498
"Pathway E",1.10391925345442
"Pathway E",0.890670777456314
"Pathway E",1.18601872530982
"Pathway E",0.974808157970553
"Pathway E",0.562314528593325
"Pathway E",1.05745471862062
"Pathway E",1.09958119904934
"Pathway E",0.562455035541475
"Pathway E",1.36950370940922
"Pathway E",0.478708231995125
"Pathway E",1.23213958303423
"Pathway E",0.387098941216866
"Pathway E",1.09834013136875
"Pathway E",1.53581565141479
"Pathway E",0.982490589066547
"Pathway E",1.1168986026358
"Pathway E",1.71606601620074
"Pathway E",0.911358533044193
"Pathway E",0.443697895371248
"Pathway E",0.214155541965159
"Pathway E",1.38143559592399
"Pathway E",0.722355631796147
"Pathway E",0.988435046832908
"Pathway E",1.04351115211547
"Pathway E",0.653257369137516
"Pathway E",0.671394972705483
"Pathway E",1.22629780337991
"Pathway E",0.410797788176771
"Pathway E",0.813982500834119
"Pathway E",0.489101499135087
"Pathway E",0.61497144898509
"Pathway E",1.53928007732737
"Pathway E",1.19402598422962
"Pathway E",1.08040641679745
"Pathway E",0.611901178740123
"Pathway E",0.953408641605573
"Pathway E",0.914563078370425
"Pathway E",0.828193226680809
"Pathway E",1.26892759844029
"Pathway E",1.09354293568992
"Pathway E",0.651825796877319
"Pathway E",1.08928319690081
"Pathway E",0.419025410935783
"Pathway E",0.502727068833824
"Pathway E",1.93895138170582
"Pathway E",0.718116864856637
"Pathway E",0.388586303647621
"Pathway E",1.45262323209296
"Pathway E",0.630466260394128
"Pathway E",0.429871058407503
"Pathway E",0.257801334047474
"Pathway E",0.375867019500291
"Pathway E",0.99864801263518
"Pathway E",0.637570558282715
"Pathway E",0.797630556934275
"Pathway E",0.849119840941216
"Pathway E",0.539685834246559
"Pathway F",1.50641471020316
"Pathway F",1.00139568021285
"Pathway F",2.29217386152488
"Pathway F",1.77517893591775
"Pathway F",1.54541607903675
"Pathway F",1.83393739500605
"Pathway F",1.53803267538569
"Pathway F",1.07330155846007
"Pathway F",1.38676445389812
"Pathway F",1.15944123371898
"Pathway F",1.5603002396665
"Pathway F",1.44651207474147
"Pathway F",1.80750103961543
"Pathway F",1.51418372738747
"Pathway F",1.28619313736722
"Pathway F",1.34722540777658
"Pathway F",1.58689882338744
"Pathway F",1.35963899101552
"Pathway F",2.05698446383329
"Pathway F",1.49670364616192
"Pathway F",1.97554740501473
"Pathway F",1.92337088868279
"Pathway F",1.44578762361947
"Pathway F",1.31906064530229
"Pathway F",1.01420664383532
"Pathway F",1.07035250774145
"Pathway F",1.36905996349842
"Pathway F",2.35637965090585
"Pathway F",0.875755141154662
"Pathway F",1.61717210765544
"Pathway F",1.50226287202893
"Pathway F",0.976618812650224
"Pathway F",0.888675376308475
"Pathway F",1.34918114177458
"Pathway F",1.64192148908812
"Pathway F",1.81079060583537
"Pathway F",1.69731245433831
"Pathway F",1.70782886060071
"Pathway F",1.22887271763994
"Pathway F",1.68234015820847
"Pathway F",1.78591456498237
"Pathway F",1.23866286228949
"Pathway F",1.69530999399914
"Pathway F",1.32628640118046
"Pathway F",2.32966233059548
"Pathway F",1.95873072195105
"Pathway F",1.41130139751138
"Pathway F",1.94675353403271
"Pathway F",1.48974260929773
"Pathway F",1.17269103588491
"Pathway F",1.24495240974673
"Pathway F",2.09218525394686
"Pathway F",1.02231365923047
"Pathway F",1.44895614267469
"Pathway F",1.80442729268566
"Pathway F",1.56354712086942
"Pathway F",1.31044444239129
"Pathway F",1.74605467659476
"Pathway F",1.10952055908526
"Pathway F",1.32360084739541
"Pathway F",1.33959899195673
"Pathway F",1.36105012099783
"Pathway F",1.16089428533509
"Pathway F",1.50123924836013
"Pathway F",1.80875442937314
"Pathway F",1.54417091921915
"Pathway F",1.37728746269595
"Pathway F",1.57319868875761
"Pathway F",1.56623659924409
"Pathway F",1.95935265144828
